127.0.0.1 - - [29/Apr/2020:21:45:40 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/ HTTP/1.1" 200 6168
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/css/style.css HTTP/1.1" 200 11032
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/js/modernizr-1.5.min.js HTTP/1.1" 200 11642
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/js/jquery.easing-sooper.js HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/js/jquery.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/js/jquery.sooperfish.js HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/js/jquery.kwicks-1.5.1.js HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/uniquelogo.png HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/2.jpg HTTP/1.1" 200 70188
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/1.jpg HTTP/1.1" 200 155107
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/3.jpg HTTP/1.1" 200 67473
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/4.jpg HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/6.jpg HTTP/1.1" 200 163145
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/5.jpg HTTP/1.1" 200 189848
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/Social%20Media/social-facebook-box-blue-icon.png HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/logo.png HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/Social%20Media/blog-icon.png HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/Social%20Media/linkedin.png HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:44 +0530] "GET /HousingSociety/images/Social%20Media/YouTube-icon.png HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:45 +0530] "GET /HousingSociety/fonts/NewsCycle-Regular.ttf HTTP/1.1" 200 100480
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:46 +0530] "GET /HousingSociety/images/pattern.png HTTP/1.1" 200 866831
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:46 +0530] "GET /HousingSociety/images/register_button.png HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:46 +0530] "GET /HousingSociety/images/footer-bg.png HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:46 +0530] "GET /HousingSociety/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 200 86864
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:45:46 +0530] "GET /HousingSociety/images/arrows-black.png HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:09 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:27 +0530] "GET /HousingSociety/ HTTP/1.1" 200 6168
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:27 +0530] "GET /HousingSociety/css/style.css HTTP/1.1" 200 11032
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:27 +0530] "GET /HousingSociety/js/modernizr-1.5.min.js HTTP/1.1" 200 11642
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:27 +0530] "GET /HousingSociety/js/jquery.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:27 +0530] "GET /HousingSociety/js/jquery.easing-sooper.js HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/js/jquery.sooperfish.js HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/js/jquery.kwicks-1.5.1.js HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/uniquelogo.png HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/1.jpg HTTP/1.1" 200 155107
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/2.jpg HTTP/1.1" 200 70188
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/3.jpg HTTP/1.1" 200 67473
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/4.jpg HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/5.jpg HTTP/1.1" 200 189848
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:28 +0530] "GET /HousingSociety/images/6.jpg HTTP/1.1" 200 163145
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/logo.png HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/Social%20Media/social-facebook-box-blue-icon.png HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/register_button.png HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/Social%20Media/blog-icon.png HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/Social%20Media/linkedin.png HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/Social%20Media/YouTube-icon.png HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/pattern.png HTTP/1.1" 200 866831
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/footer-bg.png HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/arrows-black.png HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/fonts/NewsCycle-Regular.ttf HTTP/1.1" 200 100480
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 200 86864
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:29 +0530] "GET /HousingSociety/images/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:41 +0530] "GET /HousingSociety/login.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:41 +0530] "GET /HousingSociety/loginformcssimages/css/styles.css HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:41 +0530] "GET /HousingSociety/loginformcssimages/css/animate.css HTTP/1.1" 200 68522
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:41 +0530] "GET /HousingSociety/images/LOGINWELCOMEIMAGE.png HTTP/1.1" 200 25956
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:46:48 +0530] "POST /HousingSociety/loginservlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:10 +0530] "GET /HousingSociety/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:10 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:17 +0530] "POST /HousingSociety/loginservlet HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:17 +0530] "GET /HousingSociety/loginformcssimages/css/Dashboard.css HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:17 +0530] "GET /HousingSociety/images/adminpanelimages/Login-Registration-icon.png HTTP/1.1" 200 12352
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:51 +0530] "GET /HousingSociety/leasesale.jsp HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:49:58 +0530] "GET /HousingSociety/aboutus.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:50:02 +0530] "GET /HousingSociety/contact.jsp HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:50:05 +0530] "GET /HousingSociety/feedback.jsp HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [29/Apr/2020:21:52:49 +0530] "GET /HousingSociety/login.html HTTP/1.1" 304 -
